date,eur
2025-01-02,6.3793
2025-01-03,6.3342
2025-01-06,6.3533
2025-01-07,6.3013
2025-01-08,6.3179
2025-01-09,6.2723
2025-01-10,6.2501
2025-01-13,6.2288
2025-01-14,6.2461
2025-01-15,6.2231
2025-01-16,6.2144
2025-01-17,6.2427
2025-01-20,6.2924
2025-01-21,6.2864
2025-01-22,6.218
2025-01-23,6.1757
2025-01-24,6.1971
2025-01-27,6.2236
2025-01-28,6.1435
2025-01-29,6.1063
2025-01-30,6.1555
2025-01-31,6.0616
2025-02-03,6.053
2025-02-04,6.0134
2025-02-05,6.045
2025-02-06,5.9997
2025-02-07,5.9595
2025-02-10,5.9641
2025-02-11,5.9753
2025-02-12,5.9875
2025-02-13,6.0296
2025-02-14,6.0199
2025-02-17,5.9846
2025-02-18,5.964
2025-02-19,5.9513
2025-02-20,5.9722
2025-02-21,5.9622
2025-02-24,5.9943
2025-02-25,6.0656
2025-02-26,6.0685
2025-02-27,6.065
2025-02-28,6.0828
2025-03-05,6.2397
2025-03-06,6.2192
2025-03-07,6.2713
2025-03-10,6.2785
2025-03-11,6.3755
2025-03-12,6.3658
2025-03-13,6.3124
2025-03-14,6.2426
2025-03-17,6.2345
2025-03-18,6.2122
2025-03-19,6.1637
2025-03-20,6.143
2025-03-21,6.186
2025-03-24,6.1967
2025-03-25,6.1574
2025-03-26,6.1779
2025-03-27,6.2072
2025-03-28,6.2423
2025-03-31,6.1993
2025-04-01,6.1615
2025-04-02,6.1864
2025-04-03,6.196
2025-04-04,6.3641
2025-04-07,6.4252
2025-04-08,6.4788
2025-04-09,6.6902
2025-04-10,6.6144
2025-04-11,6.6508
2025-04-14,6.6359
2025-04-15,6.628
2025-04-16,6.6941
2025-04-17,6.6558
2025-04-22,6.5925
2025-04-23,6.4559
2025-04-24,6.4477
2025-04-25,6.4696
2025-04-28,6.4543
2025-04-29,6.435
2025-04-30,6.4256
2025-05-02,6.3894
2025-05-05,6.3952
2025-05-06,6.4905
2025-05-07,6.5109
2025-05-08,6.3962
2025-05-09,6.3688
2025-05-12,6.3107
2025-05-13,6.2878
2025-05-14,6.2866
2025-05-15,6.3025
2025-05-16,6.342
2025-05-19,6.3591
2025-05-20,6.372
2025-05-21,6.4168
2025-05-22,6.3619
2025-05-23,6.4618
2025-05-26,6.4438
2025-05-27,6.4042
2025-05-28,6.4258
2025-05-29,6.4308
2025-05-30,6.4777
2025-06-02,6.5085
2025-06-03,6.4478
2025-06-04,6.4354
2025-06-05,6.4023
2025-06-06,6.3763
2025-06-09,6.3706
2025-06-10,6.3468
2025-06-11,6.3643
2025-06-12,6.4128
2025-06-13,6.4323
2025-06-16,6.3838
2025-06-17,6.3181
2025-06-18,6.3226
2025-06-20,6.3316
2025-06-23,6.371
2025-06-24,6.3772
2025-06-25,6.4406
2025-06-26,6.4613
2025-06-27,6.4199
2025-06-30,6.423
2025-07-01,6.4192
2025-07-02,6.427
2025-07-03,6.3738
2025-07-04,6.3718
2025-07-07,6.4006
2025-07-08,6.3892
2025-07-09,6.3951
2025-07-10,6.4796
2025-07-11,6.5178
2025-07-14,6.489
2025-07-15,6.4579
2025-07-16,6.4794
2025-07-17,6.4644
2025-07-18,6.4596
2025-07-21,6.5109
2025-07-22,6.5453
2025-07-23,6.5239
2025-07-24,6.4989
2025-07-25,6.502
2025-07-28,6.4873
2025-07-29,6.4324
2025-07-30,6.4271
2025-07-31,6.4038
2025-08-01,6.4051
2025-08-04,6.3755
2025-08-05,6.3828
2025-08-06,6.3828
2025-08-07,6.3604
2025-08-08,6.326
2025-08-11,6.3232
2025-08-12,6.3095
2025-08-13,6.3171
2025-08-14,6.2988
2025-08-15,6.3134
2025-08-18,6.3183
2025-08-19,6.3799
2025-08-20,6.375
2025-08-21,6.3628
2025-08-22,6.3709
2025-08-25,6.3226
2025-08-26,6.3207
2025-08-27,6.3196
2025-08-28,6.3174
2025-08-29,6.3467
2025-09-01,6.3628
2025-09-02,6.3724
2025-09-03,6.3617
2025-09-04,6.3588
2025-09-05,6.3461
2025-09-08,6.3782
2025-09-09,6.363
2025-09-10,6.3405
2025-09-11,6.3192
2025-09-12,6.2883
2025-09-15,6.2642
2025-09-16,6.2908
2025-09-17,6.2797
2025-09-18,6.2446
2025-09-19,6.2621
2025-09-22,6.293
2025-09-23,6.262
2025-09-24,6.2369
2025-09-25,6.2368
2025-09-26,6.2488
2025-09-29,6.2438
2025-09-30,6.2414
2025-10-01,6.2376
2025-10-02,6.2525
2025-10-03,6.2844
2025-10-06,6.2317
2025-10-07,6.2301
